group.id,course.co_id,group.lesson
8269743,15900,הדר,א
8269744,15900,הדר,ב
8269745,15929,שעור, 
9025706,15952,שעור,NULL
8269751,16103,תרג, 
8269752,16104,תרג,
8269754,16108,תרג, 
8269755,16112,תרג, 
8269756,16121,תרג, 
8269757,16122,תרג, 
8269758,16124,תרג, 
8973120,16129,סמ,NULL
8973343,16210,שעור,NULL
8974069,16215,שעור,NULL
8269760,16304,שות, 
8269761,16306,שות, 
8269762,16321,תרג, 
8974899,16327,תרג,NULL
8973119,16350,תרג,
9010711,16422,שוס,NULL
8973339,16433,שוס,NULL
8974740,16437,שות,NULL
8974537,16440,שות,NULL
8269771,16501,שוס, 
8990989,16507,שעור,NULL
8269773,16511,שוס, 
8973667,16515,שוס,NULL
8973673,16556,תרג,NULL
8269776,16703,שות, 
8269777,16704,תרג, 
8973385,16821,שוס,NULL
8269780,16822,תרג, 
8973341,16830,שוס,NULL
8974487,16851,שות,NULL
8973672,16859,תרג,NULL
8973654,16871,סמ,NULL
8974514,16872,סמ,NULL
8974737,16890,סמ,NULL
8974690,16908,שות,NULL
8973350,17008,שעור,NULL
