127.0.0.1, 2015-04-30 13:21:12, GET, /ihuji/static/js/share.js, HTTP/1.1, 304, 0.001213
127.0.0.1, 2015-04-30 13:21:12, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.153842
127.0.0.1, 2015-04-30 13:21:14, GET, /ihuji/appadmin/select/db, HTTP/1.1, 200, 0.106728
127.0.0.1, 2015-04-30 13:21:14, GET, /ihuji/static/js/share.js, HTTP/1.1, 304, 0.000726
127.0.0.1, 2015-04-30 13:21:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.171507
127.0.0.1, 2015-04-30 13:21:19, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 1.290476
127.0.0.1, 2015-04-30 13:22:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081191
127.0.0.1, 2015-04-30 13:22:18, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.231693
127.0.0.1, 2015-04-30 13:23:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.133291
127.0.0.1, 2015-04-30 13:23:19, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 1.169552
127.0.0.1, 2015-04-30 13:24:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.165897
127.0.0.1, 2015-04-30 13:24:19, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 1.252569
127.0.0.1, 2015-04-30 13:25:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.079297
127.0.0.1, 2015-04-30 13:25:18, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.216966
127.0.0.1, 2015-04-30 13:26:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.109442
127.0.0.1, 2015-04-30 13:26:18, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.236770
127.0.0.1, 2015-04-30 13:27:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077229
127.0.0.1, 2015-04-30 13:27:18, GET, /ihuji/appadmin/hooks, HTTP/1.1, 200, 0.217346
127.0.0.1, 2015-04-30 13:28:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101410
